region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
bangalore,228000,2012,ford,figo,fair,4.0,petrol,66479,clean,manual,fwd,hatchback
bangalore,1920923,2024,mahindra,xuv700,good,4.0,diesel,22357,clean,manual,fwd,suv
bangalore,304000,2014,hyundai,xcent,salvage,4.0,petrol,112123,clean,manual,fwd,sedan
bangalore,303000,2014,nissan,micra active,salvage,3.0,petrol,77567,clean,manual,fwd,hatchback
bangalore,454000,2014,honda,city,salvage,4.0,petrol,103040,clean,manual,fwd,sedan
bangalore,562000,2016,hyundai,i20,fair,4.0,petrol,44174,clean,manual,fwd,hatchback
bangalore,1759323,2023,mg motors,hector,fair,4.0,diesel,34997,clean,manual,fwd,suv
bangalore,713000,2019,ford,ecosport,salvage,4.0,diesel,101159,clean,manual,fwd,suv
bangalore,868000,2022,tata,altroz,good,4.0,diesel,23727,clean,manual,fwd,hatchback
bangalore,300000,2014,maruti suzuki,celerio,salvage,3.0,petrol,74886,clean,automatic,fwd,hatchback
bangalore,337000,2018,maruti suzuki,alto,fair,3.0,petrol,34528,clean,manual,fwd,hatchback
bangalore,273000,2011,hyundai,i10,fair,4.0,petrol,49426,clean,manual,fwd,hatchback
bangalore,1436078,2022,kia,carens,good,4.0,petrol,19267,clean,manual,fwd,muv
bangalore,480000,2018,hyundai,xcent,salvage,4.0,petrol,74012,clean,manual,fwd,sedan
bangalore,532000,2023,maruti suzuki,alto k10,good,3.0,petrol,10667,clean,automatic,fwd,hatchback
bangalore,368000,2014,honda,brio,salvage,4.0,petrol,70717,clean,manual,fwd,hatchback
bangalore,314000,2014,maruti suzuki,wagon r,salvage,3.0,petrol,75475,clean,manual,fwd,hatchback
bangalore,403000,2015,hyundai,xcent,fair,4.0,petrol,65946,clean,manual,fwd,sedan
bangalore,721000,2021,hyundai,i20,salvage,3.0,petrol,99662,clean,automatic,fwd,hatchback
bangalore,668000,2020,honda,jazz,fair,4.0,petrol,67888,clean,automatic,fwd,hatchback
bangalore,204000,2013,maruti suzuki,alto,salvage,3.0,petrol,120589,clean,manual,fwd,hatchback
bangalore,303000,2014,maruti suzuki,wagon r,salvage,3.0,petrol,114289,clean,manual,fwd,hatchback
bangalore,256000,2012,honda,brio,salvage,4.0,petrol,76775,clean,manual,fwd,hatchback
bangalore,482000,2017,nissan,micra,fair,3.0,petrol,44042,clean,automatic,fwd,hatchback
bangalore,268000,2016,renault,kwid,fair,3.0,petrol,53350,clean,manual,fwd,hatchback
bangalore,263000,2012,hyundai,i10,salvage,4.0,petrol,88696,clean,manual,fwd,hatchback
bangalore,401000,2016,maruti suzuki,celerio,fair,3.0,petrol,43381,clean,automatic,fwd,hatchback
bangalore,402000,2016,hyundai,grand i10,fair,4.0,petrol,49029,clean,manual,fwd,hatchback
bangalore,257000,2012,hyundai,i10,salvage,4.0,petrol,81761,clean,manual,fwd,hatchback
bangalore,316000,2017,renault,kwid,salvage,3.0,petrol,79269,clean,automatic,fwd,hatchback
